Company,Month,Revenue,COGS,Gross_Profit,Gross_Margin_%,SG&A,R&D,Operating_Income_(EBIT),Interest_Expense,Tax_Expense,Net_Income,Assets,Debt,Equity,ROE_%,ROA_%,Debt/EBITDA,Debt/Equity
Choicemotor (bsc),2024-12-31,933628,548624,385004,41.24,218061,23834,143108,37423,31483,74200,4699925,1852894,2847031,2.61,1.58,12.95,0.65
Arabian Technologies Metro,2022-01-31,1101315,594625,506690,46.01,149848,5335,351505,67278,77331,206896,5302802,4225921,1076881,19.21,3.9,12.02,3.92
Arabian Technologies Metro,2022-02-28,1022474,553945,468528,45.82,142416,5251,320860,69093,70589,181177,5349564,4230563,1119001,16.19,3.39,13.18,3.78
Arabian Technologies Metro,2022-03-31,997707,546276,451431,45.25,145477,4894,301059,67598,66233,167227,5282441,4265450,1016991,16.44,3.17,14.17,4.19
Arabian Technologies Metro,2022-04-30,1006308,548784,457524,45.47,142536,4859,310127,71956,68227,169943,5365659,4290080,1075578,15.8,3.17,13.83,3.99
Arabian Technologies Metro,2022-05-31,987967,531190,456777,46.23,152690,5266,298821,71427,65740,161653,5356167,4304649,1051517,15.37,3.02,14.41,4.09
Arabian Technologies Metro,2022-06-30,1021527,563962,457564,44.79,140869,5200,311495,67190,68528,175776,5317706,4223409,1094296,16.06,3.31,13.56,3.86
Arabian Technologies Metro,2022-07-31,977560,518960,458599,46.91,146595,4995,307009,71960,67541,167506,5337333,4250058,1087274,15.41,3.14,13.84,3.91
Arabian Technologies Metro,2022-08-31,1040347,575071,465276,44.72,154229,5781,305265,71609,67158,166498,5348504,4273792,1074711,15.49,3.11,14.0,3.98
Arabian Technologies Metro,2022-09-30,1009432,547897,461534,45.72,140442,5025,316066,67987,69534,178544,5309840,4255197,1054643,16.93,3.36,13.46,4.03
Arabian Technologies Metro,2022-10-31,1096448,597138,499309,45.54,162192,5249,331867,68848,73010,190008,5297999,4242873,1055126,18.01,3.59,12.78,4.02
Arabian Technologies Metro,2022-11-30,1109726,600008,509718,45.93,151477,5791,352450,70384,77538,204527,5298250,4320130,978120,20.91,3.86,12.26,4.42
Arabian Technologies Metro,2022-12-31,1025181,566934,458247,44.7,149386,5265,303595,69682,66790,167121,5290532,4242185,1048347,15.94,3.16,13.97,4.05
Arabian Technologies Metro,2023-01-31,1050643,574479,476164,45.32,157956,5140,313066,71476,68874,172715,5293401,4226088,1067312,16.18,3.26,13.5,3.96
Arabian Technologies Metro,2023-02-28,1000693,558084,442608,44.23,151201,4944,286462,69883,63021,153556,5307980,4249710,1058269,14.51,2.89,14.83,4.02
Arabian Technologies Metro,2023-03-31,1052804,584580,468224,44.47,159566,5358,303299,68657,66726,167916,5357710,4227644,1130065,14.86,3.13,13.94,3.74
Arabian Technologies Metro,2023-04-30,1028923,567858,461064,44.81,146920,5136,309007,69957,67981,171068,5326121,4238695,1087426,15.73,3.21,13.72,3.9
Arabian Technologies Metro,2023-05-31,1041971,564000,477970,45.87,156761,5410,315798,66195,69475,180126,5263013,4191380,1071633,16.81,3.42,13.27,3.91
Arabian Technologies Metro,2023-06-30,1076466,571324,505141,46.93,169354,6121,329665,66904,72526,190234,5337642,4217427,1120214,16.98,3.56,12.79,3.76
Arabian Technologies Metro,2023-07-31,1022126,559985,462141,45.21,143330,5084,313727,67438,69019,177268,5309697,4200588,1109109,15.98,3.34,13.39,3.79
Arabian Technologies Metro,2023-08-31,996121,539878,456242,45.8,150268,5267,300706,72735,66155,161816,5330517,4355099,975417,16.59,3.04,14.48,4.46
Arabian Technologies Metro,2023-09-30,1057517,570371,487146,46.07,154220,5345,327579,69673,72067,185838,5329599,4262113,1067485,17.41,3.49,13.01,3.99
Arabian Technologies Metro,2023-10-31,1058599,582196,476403,45.0,165248,5730,305424,69961,67193,168269,5291673,4218948,1072724,15.69,3.18,13.81,3.93
Arabian Technologies Metro,2023-11-30,1009550,557483,452067,44.78,133061,5316,313690,68865,69011,175813,5300990,4218487,1082503,16.24,3.32,13.45,3.9
Arabian Technologies Metro,2023-12-31,1118624,609803,508820,45.49,168404,5516,334900,68993,73677,192229,5332911,4299739,1033172,18.61,3.6,12.84,4.16
Arabian Technologies Metro,2024-01-31,1062248,585030,477218,44.93,157193,5676,314347,68293,69156,176897,5333757,4210273,1123484,15.75,3.32,13.39,3.75
Arabian Technologies Metro,2024-02-29,1028703,562288,466414,45.34,142032,5574,318808,70207,70137,178462,5314550,4258040,1056509,16.89,3.36,13.36,4.03
Arabian Technologies Metro,2024-03-31,1044570,565606,478964,45.85,149138,5095,324729,74812,71440,178476,5345030,4325208,1019821,17.5,3.34,13.32,4.24
Arabian Technologies Metro,2024-04-30,1030062,570841,459221,44.58,158926,4640,295653,69756,65044,160853,5321263,4239996,1081266,14.88,3.02,14.34,3.92
Arabian Technologies Metro,2024-05-31,944180,525686,418493,44.32,138535,5112,274846,72212,60466,142167,5342567,4242438,1100128,12.92,2.66,15.44,3.86
Arabian Technologies Metro,2024-06-30,967439,518948,448491,46.36,139078,5270,304143,68369,66911,168861,5298638,4199019,1099618,15.36,3.19,13.81,3.82
Arabian Technologies Metro,2024-07-31,1023577,561670,461906,45.13,147204,5170,309530,68116,68096,173317,5305471,4185041,1120430,15.47,3.27,13.52,3.74
Arabian Technologies Metro,2024-08-31,969831,523117,446714,46.06,148262,4915,293536,70289,64577,158668,5307636,4259871,1047764,15.14,2.99,14.51,4.07
Arabian Technologies Metro,2024-09-30,999826,548912,450914,45.1,142421,4685,303806,72557,66837,164411,5330725,4261806,1068919,15.38,3.08,14.03,3.99
Arabian Technologies Metro,2024-10-31,1065994,582368,483625,45.37,156737,5536,321352,70321,70697,180333,5348917,4259300,1089617,16.55,3.37,13.25,3.91
Arabian Technologies Metro,2024-11-30,1039349,557892,481457,46.32,154018,5509,321929,68471,70824,182634,5312720,4240440,1072280,17.03,3.44,13.17,3.95
Arabian Technologies Metro,2024-12-31,1086367,595720,490646,45.16,149028,5505,336112,70934,73944,191232,5301716,4208991,1092725,17.5,3.61,12.52,3.85
Nexusgroup Jeddah,2022-01-31,2147862,237277,1910585,88.95,883424,10845,1016315,46336,223589,746389,11556474,2314217,9242257,8.08,6.46,2.28,0.25
Nexusgroup Jeddah,2022-02-28,2115690,223216,1892474,89.45,904364,11447,976662,45550,214865,716246,11494539,2283763,9210776,7.78,6.23,2.34,0.25
Nexusgroup Jeddah,2022-03-31,2079101,233023,1846077,88.79,851411,11843,982821,45967,216220,720633,11451889,2270467,9181421,7.85,6.29,2.31,0.25
Nexusgroup Jeddah,2022-04-30,2089072,224994,1864078,89.23,830875,10166,1023036,47188,225068,750779,11603824,2320289,9283535,8.09,6.47,2.27,0.25
Nexusgroup Jeddah,2022-05-31,2230144,240344,1989800,89.22,871164,11673,1106962,47145,243531,816285,11518167,2294333,9223834,8.85,7.09,2.07,0.25
Nexusgroup Jeddah,2022-06-30,2206305,240527,1965777,89.1,915309,11358,1039110,47263,228603,763242,11518737,2306357,9212379,8.28,6.63,2.22,0.25
Nexusgroup Jeddah,2022-07-31,2355687,261699,2093987,88.89,978437,11333,1104216,47781,242927,813507,11562527,2303649,9258877,8.79,7.04,2.09,0.25
Nexusgroup Jeddah,2022-08-31,2225183,239261,1985921,89.25,993307,11515,981099,47917,215841,717339,11559143,2288311,9270831,7.74,6.21,2.33,0.25
Nexusgroup Jeddah,2022-09-30,2231112,239035,1992077,89.29,945472,11421,1035183,45275,227740,762167,11590432,2296963,9293468,8.2,6.58,2.22,0.25
Nexusgroup Jeddah,2022-10-31,2191374,232947,1958426,89.37,895607,11461,1051357,46341,231298,773717,11556442,2351278,9205163,8.41,6.7,2.24,0.26
Nexusgroup Jeddah,2022-11-30,2262952,249836,2013116,88.96,915506,12871,1084738,48211,238642,797884,11550779,2324923,9225855,8.65,6.91,2.14,0.25
Nexusgroup Jeddah,2022-12-31,2381710,263286,2118423,88.95,1035520,12960,1069942,47876,235386,786679,11486086,2302188,9183898,8.57,6.85,2.15,0.25
Nexusgroup Jeddah,2023-01-31,2247150,241228,2005922,89.27,889571,9897,1106452,46178,243419,816855,11512767,2299370,9213396,8.87,7.1,2.08,0.25
Nexusgroup Jeddah,2023-02-28,2189951,238427,1951523,89.11,854855,11515,1085153,44500,238733,801919,11448954,2315576,9133378,8.78,7.0,2.13,0.25
Nexusgroup Jeddah,2023-03-31,2289831,250204,2039627,89.07,1001984,12024,1025618,47819,225635,752162,11532942,2301229,9231713,8.15,6.52,2.24,0.25
Nexusgroup Jeddah,2023-04-30,2051566,228113,1823452,88.88,894140,11011,918300,48406,202025,667867,11569657,2320241,9249416,7.22,5.77,2.53,0.25
Nexusgroup Jeddah,2023-05-31,2232548,247653,1984894,88.91,953745,12150,1018998,47641,224179,747177,11542230,2312533,9229696,8.1,6.47,2.27,0.25
Nexusgroup Jeddah,2023-06-30,2357416,254832,2102583,89.19,1002269,12210,1088102,45120,239382,803600,11584674,2277249,9307425,8.63,6.94,2.09,0.24
Nexusgroup Jeddah,2023-07-31,2161238,236774,1924463,89.04,897526,11598,1015338,46907,223374,745056,11672744,2298029,9374715,7.95,6.38,2.26,0.25
Nexusgroup Jeddah,2023-08-31,2132546,234739,1897806,88.99,871381,9637,1016787,46379,223693,746715,11418120,2292169,9125950,8.18,6.54,2.25,0.25
Nexusgroup Jeddah,2023-09-30,2151234,238675,1912558,88.91,874990,10756,1026811,46099,225897,754814,11550806,2315869,9234937,8.17,6.53,2.26,0.25
Nexusgroup Jeddah,2023-10-31,2164744,239155,1925588,88.95,852376,10086,1063124,44939,233887,784298,11533015,2304760,9228255,8.5,6.8,2.17,0.25
Nexusgroup Jeddah,2023-11-30,2111158,230040,1881118,89.1,848142,10952,1022023,45736,224844,751442,11510302,2284545,9225756,8.15,6.53,2.24,0.25
Nexusgroup Jeddah,2023-12-31,2221773,243180,1978592,89.05,967323,11873,999395,46364,219867,733163,11495489,2302836,9192652,7.98,6.38,2.3,0.25
Nexusgroup Jeddah,2024-01-31,2214723,239053,1975670,89.21,921501,10474,1043694,46854,229613,767227,11421822,2287044,9134777,8.4,6.72,2.19,0.25
Nexusgroup Jeddah,2024-02-29,2214130,235930,1978199,89.34,910911,11191,1056096,47821,232341,775933,11521304,2311242,9210062,8.42,6.73,2.19,0.25
Nexusgroup Jeddah,2024-03-31,2329564,256743,2072821,88.98,974726,12201,1085894,50520,238896,796477,11635280,2328946,9306333,8.56,6.85,2.14,0.25
Nexusgroup Jeddah,2024-04-30,2144289,230492,1913797,89.25,870429,10484,1032883,46790,227234,758858,11480829,2278520,9202308,8.25,6.61,2.21,0.25
Nexusgroup Jeddah,2024-05-31,2234364,243326,1991038,89.11,931126,11416,1048495,45870,230668,771955,11537689,2313503,9224185,8.37,6.69,2.21,0.25
Nexusgroup Jeddah,2024-06-30,2093323,225166,1868156,89.24,859323,10750,998083,44721,219578,733783,11439162,2291180,9147981,8.02,6.41,2.3,0.25
Nexusgroup Jeddah,2024-07-31,2122426,224712,1897714,89.41,887543,10454,999716,48385,219937,731393,11602431,2324217,9278213,7.88,6.3,2.32,0.25
Nexusgroup Jeddah,2024-08-31,2245990,242718,2003272,89.19,922029,12287,1068955,45763,235169,788022,11635616,2311406,9324209,8.45,6.77,2.16,0.25
Nexusgroup Jeddah,2024-09-30,2187086,237031,1950054,89.16,900092,10609,1039352,49530,228658,761164,11581315,2339501,9241813,8.24,6.57,2.25,0.25
Nexusgroup Jeddah,2024-10-31,2211402,243516,1967885,88.99,940229,10739,1016916,44356,223721,748838,11512509,2280765,9231744,8.11,6.5,2.24,0.25
Nexusgroup Jeddah,2024-11-30,2212898,236510,1976387,89.31,920106,11771,1044510,46605,229791,768112,11524391,2321465,9202925,8.35,6.67,2.22,0.25
Nexusgroup Jeddah,2024-12-31,2285939,245379,2040559,89.27,940887,10854,1088817,46057,239539,803220,11427936,2285962,9141974,8.79,7.03,2.1,0.25
(sa) Pharma Technologies,2022-01-31,360501,97897,262603,72.84,97551,51607,113444,12047,24957,76439,1818528,651346,1167181,6.55,4.2,5.74,0.56
(sa) Pharma Technologies,2022-02-28,324114,87413,236701,73.03,82233,49962,104504,11378,22990,70134,1804919,639472,1165447,6.02,3.89,6.12,0.55
(sa) Pharma Technologies,2022-03-31,368933,102361,266572,72.25,96278,56657,113635,12285,24999,76349,1816807,666216,1150590,6.64,4.2,5.86,0.58
(sa) Pharma Technologies,2022-04-30,336072,90363,245708,73.11,85698,52781,107229,12034,23590,71603,1817162,659634,1157528,6.19,3.94,6.15,0.57
(sa) Pharma Technologies,2022-05-31,336825,93272,243553,72.31,82618,53534,107400,12088,23628,71683,1816094,653060,1163034,6.16,3.95,6.08,0.56
(sa) Pharma Technologies,2022-06-30,360437,97737,262699,72.88,96597,50234,115867,12341,25490,78035,1806053,641844,1164208,6.7,4.32,5.54,0.55
(sa) Pharma Technologies,2022-07-31,343435,93548,249887,72.76,89488,50813,109585,12298,24108,73178,1807945,650968,1156976,6.32,4.05,5.94,0.56
(sa) Pharma Technologies,2022-08-31,339050,94155,244894,72.23,95455,48805,100632,11639,22139,66853,1820267,652807,1167460,5.73,3.67,6.49,0.56
(sa) Pharma Technologies,2022-09-30,352066,95221,256845,72.95,99503,49608,107733,12160,23701,71871,1802313,656988,1145324,6.28,3.99,6.1,0.57
(sa) Pharma Technologies,2022-10-31,334003,91649,242353,72.56,89628,53806,98918,12530,21762,64626,1807558,657031,1150526,5.62,3.58,6.64,0.57
(sa) Pharma Technologies,2022-11-30,367210,100456,266753,72.64,103708,55258,107786,11404,23712,72668,1828420,640988,1187432,6.12,3.97,5.95,0.54
(sa) Pharma Technologies,2022-12-31,338844,89799,249044,73.5,87394,51578,110070,12174,24215,73680,1827690,653532,1174157,6.28,4.03,5.94,0.56
(sa) Pharma Technologies,2023-01-31,334725,91484,243240,72.67,85373,52861,105005,12013,23101,69890,1816356,654686,1161670,6.02,3.85,6.23,0.56
(sa) Pharma Technologies,2023-02-28,337768,91559,246209,72.89,91958,55486,98765,11600,21728,65436,1816063,649564,1166498,5.61,3.6,6.58,0.56
(sa) Pharma Technologies,2023-03-31,355957,97619,258338,72.58,93004,54697,110636,11828,24340,74468,1813994,646976,1167017,6.38,4.11,5.85,0.55
(sa) Pharma Technologies,2023-04-30,342784,93583,249201,72.7,89992,52085,107123,11512,23567,72044,1811622,645414,1166208,6.18,3.98,6.02,0.55
(sa) Pharma Technologies,2023-05-31,351480,96022,255457,72.68,86303,50093,119061,12345,26193,80522,1818977,652381,1166596,6.9,4.43,5.48,0.56
(sa) Pharma Technologies,2023-06-30,357376,95902,261473,73.16,94132,49766,117575,12015,25866,79693,1815847,651999,1163848,6.85,4.39,5.54,0.56
(sa) Pharma Technologies,2023-07-31,349483,95137,254346,72.78,92880,52172,109293,11666,24044,73583,1831228,653845,1177382,6.25,4.02,5.98,0.56
(sa) Pharma Technologies,2023-08-31,351957,95802,256155,72.78,97917,50324,107913,12258,23741,71913,1816647,656451,1160196,6.2,3.96,6.08,0.57
(sa) Pharma Technologies,2023-09-30,361622,97387,264235,73.07,94427,54112,115695,11915,25452,78326,1819238,658120,1161118,6.75,4.31,5.69,0.57
(sa) Pharma Technologies,2023-10-31,328669,89177,239492,72.87,86007,46312,107171,11460,23577,72133,1803966,649132,1154834,6.25,4.0,6.06,0.56
(sa) Pharma Technologies,2023-11-30,360593,98178,262415,72.77,97618,51784,113012,12284,24862,75865,1823316,661826,1161490,6.53,4.16,5.86,0.57
(sa) Pharma Technologies,2023-12-31,328904,89516,239388,72.78,89630,48523,101234,12222,22271,66740,1823033,664994,1158038,5.76,3.66,6.57,0.57
(sa) Pharma Technologies,2024-01-31,329605,88403,241201,73.18,90993,49436,100771,11796,22169,66804,1807884,641997,1165887,5.73,3.7,6.37,0.55
(sa) Pharma Technologies,2024-02-29,349302,95585,253716,72.64,94607,54363,104745,11663,23044,70038,1803692,648537,1155155,6.06,3.88,6.19,0.56
(sa) Pharma Technologies,2024-03-31,343521,90856,252664,73.55,93421,50712,108530,12177,23876,72476,1814996,657328,1157668,6.26,3.99,6.06,0.57
(sa) Pharma Technologies,2024-04-30,336631,90755,245876,73.04,90847,54442,100586,12032,22128,66425,1830234,656068,1174166,5.66,3.63,6.52,0.56
(sa) Pharma Technologies,2024-05-31,348471,93685,254786,73.12,93862,53302,107621,12294,23676,71650,1828030,658557,1169473,6.13,3.92,6.12,0.56
(sa) Pharma Technologies,2024-06-30,340290,90523,249766,73.4,89890,51455,108420,11803,23852,72764,1810410,650591,1159819,6.27,4.02,6.0,0.56
(sa) Pharma Technologies,2024-07-31,346080,96163,249917,72.21,94069,50727,105121,11776,23126,70218,1821923,654100,1167822,6.01,3.85,6.22,0.56
(sa) Pharma Technologies,2024-08-31,350933,95936,254997,72.66,94328,57016,103651,12762,22803,68085,1808573,658864,1149709,5.92,3.76,6.36,0.57
(sa) Pharma Technologies,2024-09-30,340404,92065,248338,72.95,90139,50911,107287,12067,23603,71616,1812915,657050,1155865,6.2,3.95,6.12,0.57
(sa) Pharma Technologies,2024-10-31,365929,101849,264079,72.17,106786,58292,99000,12318,21780,64902,1815255,655194,1160061,5.59,3.58,6.62,0.56
(sa) Pharma Technologies,2024-11-30,348405,92389,256015,73.48,92206,53583,110225,12027,24249,73948,1817778,656592,1161185,6.37,4.07,5.96,0.57
(sa) Pharma Technologies,2024-12-31,348121,94079,254042,72.98,95225,53618,105198,11598,23143,70456,1830560,660755,1169805,6.02,3.85,6.28,0.56
Britannia Ez Energy,2022-01-31,1895364,829599,1065765,56.23,609212,134736,321815,76505,70799,174510,9977870,4017925,5959944,2.93,1.75,12.49,0.67
Britannia Ez Energy,2022-02-28,1889256,814087,1075169,56.91,575788,153733,345646,83563,76042,186041,9989394,4058565,5930829,3.14,1.86,11.74,0.68
Britannia Ez Energy,2022-03-31,1992072,874288,1117783,56.11,589787,157575,370420,83010,81492,205917,10021353,3994838,6026515,3.42,2.05,10.78,0.66
Britannia Ez Energy,2022-04-30,1782664,774607,1008057,56.55,529390,129790,348877,81823,76752,190300,9997787,4041310,5956476,3.19,1.9,11.58,0.68
Britannia Ez Energy,2022-05-31,2069165,885986,1183178,57.18,612347,174093,396738,80096,87282,229359,10012660,3994329,6018331,3.81,2.29,10.07,0.66
Britannia Ez Energy,2022-06-30,1880238,822016,1058221,56.28,611232,120046,326942,84190,71927,170825,10084767,4061457,6023309,2.84,1.69,12.42,0.67
Britannia Ez Energy,2022-07-31,1879823,804050,1075773,57.23,584654,132569,358549,84909,78880,194758,10027520,4092383,5935136,3.28,1.94,11.41,0.69
Britannia Ez Energy,2022-08-31,1914251,829373,1084877,56.67,571006,151619,362252,80923,79695,201633,9982152,3967815,6014337,3.35,2.02,10.95,0.66
Britannia Ez Energy,2022-09-30,1906401,823415,1082985,56.81,584514,162326,336144,84631,73951,177561,10051450,3947432,6104017,2.91,1.77,11.74,0.65
Britannia Ez Energy,2022-10-31,1952517,837968,1114549,57.08,577417,141828,395303,84341,86966,223995,9952900,3978766,5974133,3.75,2.25,10.06,0.67
Britannia Ez Energy,2022-11-30,1808244,777459,1030784,57.0,581337,148424,301023,79365,66224,155432,9911555,3927087,5984468,2.6,1.57,13.04,0.66
Britannia Ez Energy,2022-12-31,1910834,829791,1081043,56.57,579292,161947,339802,80632,74756,184413,10001554,3927884,6073669,3.04,1.84,11.56,0.65
Britannia Ez Energy,2023-01-31,1997278,866325,1130953,56.62,607310,174838,348804,83122,76736,188945,9894833,3978110,5916722,3.19,1.91,11.4,0.67
Britannia Ez Energy,2023-02-28,1947466,831539,1115926,57.3,608106,150478,357342,80109,78615,198617,9910638,3980118,5930520,3.35,2.0,11.14,0.67
Britannia Ez Energy,2023-03-31,1882174,818574,1063600,56.51,575559,140155,347884,77893,76534,193456,10025058,3941170,6083887,3.18,1.93,11.33,0.65
Britannia Ez Energy,2023-04-30,1957168,854849,1102318,56.32,584089,163907,354321,82365,77950,194005,9984221,3977592,6006628,3.23,1.94,11.22,0.66
Britannia Ez Energy,2023-05-31,1944370,849925,1094444,56.29,617083,148769,328591,82391,72290,173910,9966657,3955846,6010811,2.89,1.74,12.04,0.66
Britannia Ez Energy,2023-06-30,1884232,806691,1077540,57.19,634122,153539,289878,83805,63773,142299,10080757,4038348,6042409,2.36,1.41,13.93,0.67
Britannia Ez Energy,2023-07-31,1923612,830001,1093611,56.85,605811,128684,359115,81467,79005,198642,10035919,3984619,6051300,3.28,1.98,11.09,0.66
Britannia Ez Energy,2023-08-31,1948448,844650,1103798,56.65,600591,149648,353558,80545,77782,195230,9943812,3979122,5964690,3.27,1.96,11.25,0.67
Britannia Ez Energy,2023-09-30,1978516,861460,1117056,56.46,649994,138391,328670,83641,72307,172721,10013582,3988052,6025530,2.87,1.72,12.13,0.66
Britannia Ez Energy,2023-10-31,1869890,820644,1049246,56.11,565483,132099,351663,84526,77365,189771,10002667,4010737,5991930,3.17,1.9,11.4,0.67
Britannia Ez Energy,2023-11-30,1864226,826849,1037376,55.65,626377,152708,258291,78854,56824,122612,9938449,3974022,5964427,2.06,1.23,15.38,0.67
Britannia Ez Energy,2023-12-31,1914020,854991,1059028,55.33,630841,152455,275731,79341,60661,135728,10048037,3977699,6070338,2.24,1.35,14.43,0.66
Britannia Ez Energy,2024-01-31,1904896,817129,1087767,57.1,586776,131498,369492,84333,81288,203871,10000365,3947022,6053343,3.37,2.04,10.68,0.65
Britannia Ez Energy,2024-02-29,1939364,848518,1090845,56.25,603552,142690,344603,82182,75812,186608,10007842,3979509,6028332,3.1,1.86,11.55,0.66
Britannia Ez Energy,2024-03-31,1972403,857113,1115290,56.54,562494,123703,429092,79022,94400,255670,9942828,4000161,5942666,4.3,2.57,9.32,0.67
Britannia Ez Energy,2024-04-30,1896167,833378,1062789,56.05,602189,157917,302681,79763,66589,156328,9964776,4022071,5942704,2.63,1.57,13.29,0.68
Britannia Ez Energy,2024-05-31,1931455,833153,1098301,56.86,614963,130380,352957,81709,77650,193597,9925539,4007520,5918018,3.27,1.95,11.35,0.68
Britannia Ez Energy,2024-06-30,1939858,831794,1108063,57.12,612543,149290,346229,73804,76170,196254,9976021,3906014,6070007,3.23,1.97,11.28,0.64
Britannia Ez Energy,2024-07-31,1918503,849981,1068521,55.7,615150,156132,297237,81550,65392,150294,9919263,4008341,5910921,2.54,1.52,13.48,0.68
Britannia Ez Energy,2024-08-31,1942788,818259,1124529,57.88,610372,156602,357553,79425,78661,199466,9962851,3920310,6042540,3.3,2.0,10.96,0.65
Britannia Ez Energy,2024-09-30,1841775,801850,1039925,56.46,538681,140680,360563,79821,79323,201417,10008450,3968790,6039659,3.33,2.01,11.01,0.66
Britannia Ez Energy,2024-10-31,2069290,887231,1182059,57.12,654765,155939,371353,83251,81697,206404,10097164,4028818,6068345,3.4,2.04,10.85,0.66
Britannia Ez Energy,2024-11-30,1821679,797048,1024631,56.25,564870,140162,319597,80501,70311,168784,10040651,4007093,6033557,2.8,1.68,12.54,0.66
Britannia Ez Energy,2024-12-31,1865528,812153,1053375,56.47,608216,141035,304123,81887,66907,155328,9909520,4032683,5876837,2.64,1.57,13.26,0.69
Gulf Motors Core,2022-01-31,831087,505653,325433,39.16,150281,31767,143384,51156,31544,60683,4240206,2178701,2061504,2.94,1.43,15.19,1.06
Gulf Motors Core,2022-02-28,820785,485933,334851,40.8,149505,30266,155079,47362,34117,73599,4221306,2180056,2041249,3.61,1.74,14.06,1.07
Gulf Motors Core,2022-03-31,836044,500769,335274,40.1,167205,30867,137201,50635,30184,56381,4240677,2196998,2043678,2.76,1.33,16.01,1.08
Gulf Motors Core,2022-04-30,847853,516188,331664,39.12,156301,30874,144488,49882,31787,62819,4227001,2204417,2022584,3.11,1.49,15.25,1.09
Gulf Motors Core,2022-05-31,880233,518539,361693,41.09,159003,31454,171235,51512,37671,82051,4253046,2237436,2015610,4.07,1.93,13.07,1.11
Gulf Motors Core,2022-06-30,789345,469883,319462,40.47,151101,30221,138139,49453,30390,58295,4229129,2187090,2042039,2.85,1.38,15.83,1.07
Gulf Motors Core,2022-07-31,830641,502973,327668,39.45,151826,29217,146624,46485,32257,67881,4253090,2235498,2017592,3.36,1.6,15.24,1.11
Gulf Motors Core,2022-08-31,845743,516197,329546,38.97,159376,28699,141470,50662,31123,59684,4244182,2222725,2021456,2.95,1.41,15.71,1.1
Gulf Motors Core,2022-09-30,826185,504362,321823,38.95,160808,29750,131263,50565,28877,51820,4228236,2193829,2034407,2.55,1.23,16.71,1.08
Gulf Motors Core,2022-10-31,841416,514746,326670,38.82,164449,29005,133215,50809,29307,53097,4262584,2233412,2029172,2.62,1.25,16.76,1.1
Gulf Motors Core,2022-11-30,880211,529344,350867,39.86,165267,28546,157053,47579,34551,74921,4241424,2181446,2059978,3.64,1.77,13.89,1.06
Gulf Motors Core,2022-12-31,814189,482039,332150,40.8,152761,25792,153595,49785,33791,70019,4239363,2173986,2065376,3.39,1.65,14.15,1.05
Gulf Motors Core,2023-01-31,869679,533815,335864,38.62,159009,31924,144930,49340,31884,63706,4229029,2229115,1999913,3.19,1.51,15.38,1.11
Gulf Motors Core,2023-02-28,833269,505330,327938,39.36,157551,32575,137811,50186,30318,57306,4242997,2213215,2029782,2.82,1.35,16.06,1.09
Gulf Motors Core,2023-03-31,805071,475312,329758,40.96,158639,29061,142056,48878,31252,61925,4254125,2226330,2027795,3.05,1.46,15.67,1.1
Gulf Motors Core,2023-04-30,847907,498862,349045,41.17,155118,31044,162883,50083,35834,76965,4258840,2191883,2066956,3.72,1.81,13.46,1.06
Gulf Motors Core,2023-05-31,766558,445379,321179,41.9,147786,26872,146521,49414,32234,64872,4233183,2219905,2013277,3.22,1.53,15.15,1.1
Gulf Motors Core,2023-06-30,785286,464406,320880,40.86,147887,24187,148804,48293,32737,67773,4238561,2189435,2049126,3.31,1.6,14.71,1.07
Gulf Motors Core,2023-07-31,834874,510886,323988,38.81,154473,30896,138618,48214,30496,59908,4193620,2179478,2014142,2.97,1.43,15.72,1.08
Gulf Motors Core,2023-08-31,864591,517520,347071,40.14,163095,29741,154234,49224,33931,71078,4273486,2213433,2060053,3.45,1.66,14.35,1.07
Gulf Motors Core,2023-09-30,830684,494959,335725,40.42,160403,29705,145616,49520,32035,64060,4236271,2234061,2002210,3.2,1.51,15.34,1.12
Gulf Motors Core,2023-10-31,810661,483748,326912,40.33,145950,29444,151517,49632,33333,68550,4281485,2208895,2072590,3.31,1.6,14.58,1.07
Gulf Motors Core,2023-11-30,811874,488017,323857,39.89,141082,29523,153250,50472,33715,69062,4187785,2163941,2023843,3.41,1.65,14.12,1.07
Gulf Motors Core,2023-12-31,801601,471839,329761,41.14,144602,30890,154268,48743,33939,71586,4274496,2198393,2076103,3.45,1.67,14.25,1.06
Gulf Motors Core,2024-01-31,806717,490188,316529,39.24,150881,28672,136975,48702,30134,58138,4276552,2206261,2070290,2.81,1.36,16.11,1.07
Gulf Motors Core,2024-02-29,813984,490220,323763,39.78,150062,26144,147556,48271,32462,66822,4238240,2191334,2046905,3.26,1.58,14.85,1.07
Gulf Motors Core,2024-03-31,813364,500175,313189,38.51,156641,27307,129240,46290,28432,54516,4248956,2173539,2075416,2.63,1.28,16.81,1.05
Gulf Motors Core,2024-04-30,837098,505557,331541,39.61,153264,31930,146346,49059,32196,65090,4235314,2187685,2047628,3.18,1.54,14.95,1.07
Gulf Motors Core,2024-05-31,826296,495950,330345,39.98,150212,29734,150398,51473,33087,65837,4271908,2204600,2067308,3.18,1.54,14.66,1.07
Gulf Motors Core,2024-06-30,823441,494031,329409,40.0,164901,27105,137402,50484,30228,56689,4238849,2160516,2078332,2.73,1.34,15.72,1.04
Gulf Motors Core,2024-07-31,784638,469909,314729,40.11,144209,25970,144549,46976,31800,65771,4192683,2143571,2049112,3.21,1.57,14.83,1.05
